GPSWeek [weeks];GPSSecondsOfWeek [s];Yaw-Rate [rad/s]
1900;126638.680000067;-0.244869694054804
1900;126638.700000048;-0.246440490381599
1900;126638.720000029;-0.245742358680802
1900;126638.74000001;-0.247836753783195
1900;126638.75999999;-0.248883951334391
1900;126638.779999971;-0.24923301718479
1900;126638.799999952;-0.250629280586386
1900;126638.819999933;-0.252025543987981
1900;126638.839999914;-0.254119939090374
1900;126638.859999895;-0.256214334192768
1900;126638.879999876;-0.259181393921158
1900;126638.899999857;-0.263021118275545
1900;126638.919999838;-0.266686309704734
1900;126638.940000057;-0.270526034059121
1900;126638.960000038;-0.274714824263907
1900;126638.980000019;-0.274540291338708
1900;126639;-0.274889357189107
1900;126639.019999981;-0.272620429161514
1900;126639.039999962;-0.270351501133922
1900;126639.059999943;-0.265639112153537
1900;126639.079999924;-0.261450321948751
1900;126639.099999905;-0.257436064669164
1900;126639.119999886;-0.253596340314776
1900;126639.139999866;-0.251501945212383
1900;126639.159999847;-0.249931148885588
1900;126639.180000067;-0.249058484259591
1900;126639.200000048;-0.2462659574564
1900;126639.220000029;-0.243647963578408
1900;126639.24000001;-0.242251700176813
1900;126639.25999999;-0.239284640448423
1900;126639.279999971;-0.237713844121628
1900;126639.299999952;-0.233699586842041
1900;126639.319999933;-0.230383461263252
1900;126639.339999914;-0.225845605208066
1900;126639.359999895;-0.222878545479676
1900;126639.379999876;-0.217817090648892
1900;126639.399999857;-0.213802833369305
1900;126639.419999838;-0.209614043164519
1900;126639.440000057;-0.204901654184134
1900;126639.460000038;-0.20001473227855
1900;126639.480000019;-0.196349540849362
1900;126639.5;-0.192335283569775
1900;126639.519999981;-0.185004900711399
1900;126639.539999962;-0.180467044656214
1900;126639.559999943;-0.174881991049832
1900;126639.579999924;-0.168598805742652
1900;126639.599999905;-0.164584548463065
1900;126639.619999886;-0.159872159482681
1900;126639.639999866;-0.156556033903891
1900;126639.659999847;-0.152192710773906
1900;126639.680000067;-0.146433124242324
1900;126639.700000048;-0.139975406009945
1900;126639.720000029;-0.13543754995476
1900;126639.74000001;-0.129503430497979
1900;126639.75999999;-0.124965574442794
1900;126639.779999971;-0.12007865253721
1900;126639.799999952;-0.11397000015523
1900;126639.819999933;-0.110130275800842
1900;126639.839999914;-0.104196156344061
1900;126639.859999895;-0.101403629540871
1900;126639.879999876;-0.0965167076352864
1900;126639.899999857;-0.0935496479068961
1900;126639.919999838;-0.0902335223281068
1900;126639.940000057;-0.0876155284501153
1900;126639.960000038;-0.0837758040957278
1900;126639.980000019;-0.0773180858633488
1900;126640;-0.0698131700797732
1900;126640.019999981;-0.0638790506229925
1900;126640.039999962;-0.0575958653158129
1900;126640.059999943;-0.0542797397370237
1900;126640.079999924;-0.0483456202802429
1900;126640.099999905;-0.0457276264022514
1900;126640.119999886;-0.0399680398706702
1900;126640.139999866;-0.0352556508902855
1900;126640.159999847;-0.0291469985083053
1900;126640.180000067;-0.0219911485751286
1900;126640.200000048;-0.016929693744345
1900;126640.220000029;-0.0127409035395586
1900;126640.24000001;-0.0102974425867665
1900;126640.25999999;-0.00610865238198015
1900;126640.279999971;-0.000872664625997165
1900;126640.299999952;0.00541052068118242
1900;126640.319999933;0.00925024503556995
1900;126640.339999914;0.0134390352403563
1900;126640.359999895;0.0172787595947439
1900;126640.379999876;0.0176278254451427
1900;126640.399999857;0.0153588974175501
1900;126640.419999838;0.0125663706143592
1900;126640.440000057;0.0111701072127637
1900;126640.460000038;0.0113446401379631
1900;126640.480000019;0.0101229096615671
1900;126640.5;0.00733038285837618
1900;126640.519999981;0.00558505360638185
1900;126640.539999962;0.00436332312998582
1900;126640.559999943;0.00174532925199433
1900;126640.579999924;0.0020943951023932
1900;126640.599999905;0.00174532925199433
1900;126640.619999886;0.00383972435438753
1900;126640.639999866;0.00593411945678072
1900;126640.659999847;0.00593411945678072
1900;126640.680000067;0.00628318530717959
1900;126640.700000048;0.00698131700797732
1900;126640.720000029;0.00942477796076938
1900;126640.74000001;0.0132645023151569
1900;126640.75999999;0.0137881010907552
1900;126640.779999971;0.0136135681655558
1900;126640.799999952;0.0109955742875643
1900;126640.819999933;0.00733038285837618
1900;126640.839999914;0.00488692190558412
1900;126640.859999895;0.00383972435438753
1900;126640.879999876;0.00139626340159546
1900;126640.899999857;0.00314159265358979
1900;126640.919999838;0.00191986217719376
1900;126640.940000057;0.00296705972839036
1900;126640.960000038;0.00279252680319093
1900;126640.980000019;0.00506145483078356
1900;126641;0.00715584993317675
1900;126641.019999981;0.00802851455917392
1900;126641.039999962;0.00733038285837618
1900;126641.059999943;0.00698131700797732
1900;126641.079999924;0.00663225115757845
1900;126641.099999905;0.00733038285837618
1900;126641.119999886;0.00907571211037051
1900;126641.139999866;0.010471975511966
1900;126641.159999847;0.00872664625997165
