GPSWeek [weeks];GPSSecondsOfWeek [s];Longitude (GT Lon) [deg];Longitude Cov (GT Lon Cov) [deg];Latitude (GT Lat) [deg];Latitude Cov (GT Lat Cov) [deg];Height above ellipsoid (GT Height) [m];Height above ellipsoid Cov (GT Height Cov) [m];Heading (0° = East, counterclockwise) - (GT Heading) [rad];Heading Cov (0° = East, counterclockwise) - (GT Heading Cov) [rad];Acceleration (GT Acceleration) [ms^2];Acceleration Cov (GT Acceleration Cov) [ms^2];Velocity (GT Velocity) [m/s];Velocity Cov (GT Velocity Cov) [m/s];Yaw-Rate (GT Yaw-rate) [rad/s];Yaw-Rate Cov (GT Yaw-rate Cov) [rad/s];GPS time of week of the navigation epoch (iTOW) [ms];Longitude (lon) [deg];Latitude (lat) [deg];Height above ellipsoid (height) [m];Height above mean sea level (hMSL) [m];Horizontal accuracy estimate (hAcc) [m];Vertical accuracy estimate (vAcc) [m]
1900;126641.5;13.3736577630426;7.85693086048003E-06;52.5045602752174;4.88946372764368E-05;76.0046109798254;6.29186927138201E-06;1.24865485755166;1.24599650497499E-07;0.915310811795914;0.00557614960821566;5.707052048892;0.00023769400115925;0.00280054172393487;1.2230798834864E-06;126641500;13.3736776;52.504575;80.242;38.043;0.547;-1
1900;126641.7;13.3736628009993;8.57050512511901E-06;52.5045700976571;4.94065645841247E-324;76.0109672205344;6.4952128250106E-06;1.24846909529501;1.21995272738642E-07;0.804239438432334;0.00558096703223344;5.87938031873914;0.000239314882696982;-0.00735458898810274;1.22240492514937E-06;126641700;13.3736829;52.5045848;80.234;38.035;0.547;-1
1900;126642;13.3736706617713;9.69802511961275E-06;52.5045853289686;5.71539774180062E-05;76.0209360020511;6.82955072790113E-06;1.24381734026251;1.18611077620386E-07;0.64500415482792;0.00557126994848988;6.09562838848489;0.000237682000888109;-0.0183505147256641;1.22168017370992E-06;126642000;13.3736918;52.5045997;80.236;38.037;0.549;-1
1900;126642.2;13.373676132723;1.02943955712383E-05;52.5045954620629;1.66223041079229E-06;76.0278292255409;7.07135196276936E-06;1.24040334838888;1.16682787954096E-07;0.566129389387021;0.00552737472708772;6.21640091507761;0.000236725804002933;-0.0160516589595097;1.22127579137768E-06;126642200;13.3736973;52.5046099;80.233;38.034;0.552;-1
1900;126642.4;13.3736817586727;1.09891870496911E-05;52.5046061251538;2.52104107582652E-05;76.0348676302975;7.3265283226027E-06;1.23670583209953;1.14915582280594E-07;0.509139955456349;0.00556613275009508;6.32282388411961;0.000234526549611101;-0.0222871898354073;1.22097200860929E-06;126642400;13.373703;52.5046203;80.218;38.02;0.556;-1
1900;126642.6;13.3736875504343;1.16157598012979E-05;52.504616756246;4.55729796334926E-06;76.0419919712461;7.59699162232605E-06;1.23316616191412;1.13373545510885E-07;0.498470109058441;0.00555551158329739;6.42293482804231;0.000232686173998116;-0.0164818073588065;1.2207393209942E-06;126642600;13.3737093;52.5046309;80.199;38;0.559;-1
1900;126642.8;13.3736934887379;1.22190169879032E-05;52.5046276917454;4.94065645841247E-324;76.0491300258312;7.8871635629339E-06;1.2307154672882;1.12007471237025E-07;0.485954884376657;0.00554780382719297;6.52237692748283;0.000234062733656968;-0.00832124991149247;1.22054793605875E-06;126642800;13.3737162;52.5046417;80.135;37.936;0.563;-1
1900;126643;13.3736995434892;1.26516883029011E-05;52.504638809136;4.94065645841247E-324;76.0561968354601;8.20184728776499E-06;1.22943030924528;1.10802721507517E-07;0.453358160755746;0.00559799660842263;6.61582827292504;0.000239504472985603;-0.00832959296067944;1.2204200658068E-06;126643000;13.3737239;52.5046524;80.101;37.902;0.567;-1
1900;126643.3;13.3737088437291;1.37557038525011E-05;52.5046555438907;1.26553759614453E-05;76.0664505109759;8.72698358811376E-06;1.2275143338736;1.09338262062423E-07;0.351209609597012;0.00556534305606593;6.73882448449894;0.000246383857765478;-0.00455393103703608;1.22030732433382E-06;126643300;13.3737346;52.5046689;80.078;37.879;0.575;-1
1900;126643.5;13.3737151246925;1.45600350272152E-05;52.5046671395952;2.51888675792131E-05;76.0729016138532;9.11958275962422E-06;1.22800432453952;1.08564919715705E-07;0.224119889511556;0.00567385865515142;6.79668576204671;0.000246867102975532;0.00453413189613199;1.2202901538661E-06;126643500;13.3737405;52.5046805;80.077;37.878;0.581;-1
1900;126643.7;13.3737214358743;1.51792878270559E-05;52.5046785937765;2.3621551795323E-05;76.078924455192;9.55697402549809E-06;1.2285199872872;1.07968471632575E-07;0.0980768211682601;0.00564493505333673;6.82893325021445;0.000248691207327584;0.00105043749325952;1.2202915380405E-06;126643700;13.3737467;52.5046918;80.139;37.94;0.586;-1
1900;126643.9;13.3737277586603;1.58361946601426E-05;52.5046901160305;2.78041041876173E-05;76.0844261364783;1.00503639928229E-05;1.22890117895009;1.07470008156949E-07;-0.00308737245625265;0.00558460026216058;6.83779090316799;0.00024980729045307;0.00121460334364846;1.22026709086363E-06;126643900;13.3737528;52.5047037;80.09;37.892;0.591;-1
1900;126644.1;13.3737340821884;1.63990060300329E-05;52.5047016599661;5.67972582301725E-06;76.0893321044809;1.06092346143521E-05;1.22928190081847;1.07097729393679E-07;-0.0686581312925;0.00568832073084264;6.82988813645619;0.000249198715819916;0.000797504690396128;1.22031091005518E-06;126644100;13.3737585;52.5047153;80.075;37.876;0.595;-1
1900;126644.3;13.3737403713156;1.67571104002988E-05;52.5047132449065;2.33711415770936E-05;76.0935999485069;1.12392801904613E-05;1.22948938334381;1.06920227952263E-07;-0.0794549604813369;0.00573254748299526;6.81429530000675;0.000252234359083507;0.003391951258317;1.22037371895143E-06;126644300;13.3737644;52.5047268;80.07;37.872;0.599;-1
1900;126644.5;13.373746645007;1.71140882774149E-05;52.5047247480319;9.21573915751841E-05;76.0972249339384;1.19449593252329E-05;1.23011810047992;1.06879283783741E-07;-0.0480750022938305;0.00572551728023883;6.80062917955931;0.000253146800235601;0.00158095577457418;1.22043870319179E-06;126644500;13.3737706;52.504738;80.092;37.894;0.601;-1
1900;126644.7;13.373752898728;1.71338988811884E-05;52.5047361529744;3.7262069157821E-05;76.1002449768592;1.27286958349935E-05;1.23059109523251;1.06999587257352E-07;0.0109930385431858;0.00569830860294768;6.79682805164755;0.000255980463566617;0.00280453747948105;1.22053630882615E-06;126644700;13.3737765;52.5047494;80.025;37.827;0.605;-1
1900;126644.9;13.3737591412105;1.71431741436063E-05;52.5047475566594;4.58204772626707E-05;76.1027452284862;1.35868076722415E-05;1.23136485232139;1.07275173009567E-07;0.0585137552372593;0.0057022396894212;6.80422156685088;0.000258224104004854;0.0045477352055168;1.2206700711059E-06;126644900;13.3737816;52.5047609;80.023;37.825;0.61;-1
1900;126645.2;13.3737685176379;1.71069422124945E-05;52.5047648064882;7.50812001231496E-06;76.1058316708043;1.49791999993483E-05;1.23232603867803;1.08009414452284E-07;0.105841477304355;0.00565849298496883;6.83005967960627;0.0002566425838713;0.00438830450551467;1.22091255728575E-06;126645200;13.3737906;52.504778;80.043;37.844;0.621;-1
1900;126645.5;13.3737779365113;1.76288649837639E-05;52.5047820348185;2.31461195322994E-05;76.1086714097539;1.64230201914939E-05;1.23354471663401;1.0923641144239E-07;0.109015863715548;0.00559231606791315;6.86301875409399;0.000251751623813064;0.00515807337870936;1.22125718726161E-06;126645500;13.373799;52.5047955;80.015;37.817;0.627;-1
1900;126645.7;13.3737841972023;1.79916006456561E-05;52.5047936033081;2.03983395384652E-05;76.1107112326112;1.73820061263879E-05;1.23419086308105;1.10387547594864E-07;0.0964792689367493;0.00566739722213741;6.88396768441032;0.000245862414895308;0.00424592289707322;1.22153374130806E-06;126645700;13.3738052;52.504807;80.019;37.82;0.629;-1
