GPSWeek [weeks];GPSSecondsOfWeek [s];Solution status (sol stat);Position type (pos type);Latitude (lat) [deg];Longitude (lon) [deg];Height above mean sea level (hgt) [m];Undulation (undulation) [m];Datum ID number (datum id#);Latitude standard deviation (lat σ) [m];Longitude standard deviation (lon σ) [m];Height standard deviation (hgt σ) [m];Base station ID (stn id);Differential age in seconds (diff_age) [s];Solution age in seconds (sol_age) [s];Number of satellites tracked (#SVs);Number of satellites used in solution (#solnSVs);Number of satellites with L1/E1/B1 signals used in solution (#solnL1SVs);Number of satellites with multi-frequency signals used in solution (#solnMultiSVs);Extended solution status (ext sol stat);Galileo and BeiDou signals used mask (Galileo and BeiDou sig mask);GPS and GLONASS signals used mask (GPS and GLONASS sig mask)
1900;126636.6;0;56;52.5044150816085;13.3736144961233;36.2162055447698;39.5999984741211;61;0.0130444318056107;0.0121153397485614;0.0144433779641986;4095;2;0;19;17;17;15;1;51;48
1900;126636.65;0;56;52.5044157715932;13.3736145346815;36.2183451168239;39.5999984741211;61;0.0130443880334497;0.0121152931824327;0.0144433788955212;4095;2;0;19;17;17;15;1;51;48
1900;126636.7;0;56;52.5044164758537;13.3736145621582;36.2205855855718;39.5999984741211;61;0.0130444001406431;0.0121153071522713;0.0144433788955212;4095;2;0;19;17;17;15;1;51;48
1900;126636.75;0;56;52.5044171920097;13.3736145880782;36.2225729655474;39.5999984741211;61;0.0130444131791592;0.0121153201907873;0.0144433779641986;4095;2;0;19;17;17;15;1;51;48
1900;126636.8;0;56;52.5044179227257;13.3736146094127;36.2245709244162;39.5999984741211;61;0.0130444280803204;0.0121153360232711;0.0144433779641986;4095;2;0;19;17;17;15;1;51;48
1900;126636.85;0;56;52.5044186670964;13.3736146187461;36.2270438931882;39.5999984741211;61;0.0130443852394819;0.0121152894571424;0.0144433779641986;4095;2;0;19;17;17;15;1;51;48
1900;126636.9;0;56;52.5044194264487;13.3736146216272;36.2297509489581;39.5999984741211;61;0.0130443926900625;0.012115296907723;0.0144433779641986;4095;2;0;19;17;17;15;1;51;48
1900;126636.95;0;56;52.504420198114;13.3736146221517;36.2325841691345;39.5999984741211;61;0.0130443964153528;0.0121153015643358;0.014443377032876;4095;2;0;19;17;17;15;1;51;48
1900;126637;0;56;52.5044209811156;13.3736146139819;36.235093049705;39.5999984741211;61;0.0130443992093205;0.0121153043583035;0.014443377032876;4095;2;0;19;17;17;15;1;51;48
1900;126637.05;0;56;52.504421755916;13.3736146388011;36.2373160589486;39.5999984741211;61;0.0127885770052671;0.0119329737499356;0.014162952080369;4095;2;0;15;15;15;12;1;51;48
1900;126637.1;0;56;52.5044225610263;13.3736145991458;36.2396198920906;39.5999984741211;61;0.0127885807305574;0.0119329774752259;0.014162952080369;4095;2;0;15;15;15;12;1;51;48
